	Date	Open	High	Low	Close	Volume	Market Cap	Average (High + Low / 2)
0	2017-11-01	0.201889	0.243829	0.188497	0.199491	2954350.0	30283300.0	0.22
1	2017-11-02	0.199334	0.236519	0.192323	0.2345	2054830.0	29900100.0	0.21
2	2017-11-03	0.225903	0.238826	0.220477	0.228534	1704310.0	33885400.0	0.23
3	2017-11-04	0.227474	0.248483	0.215262	0.239303	1664990.0	34121100.0	0.23
4	2017-11-05	0.239291	0.250529	0.238474	0.244646	1847880.0	35893700.0	0.24
5	2017-11-06	0.244512	0.248532	0.231037	0.237707	1888510.0	36676800.0	0.24
6	2017-11-07	0.23744	0.250704	0.233986	0.246954	2066790.0	35616000.0	0.24
7	2017-11-08	0.246379	0.268097	0.241092	0.260774	2803730.0	36956900.0	0.25
8	2017-11-09	0.261169	0.291616	0.254404	0.284562	3148290.0	39175300.0	0.27
9	2017-11-10	0.283524	0.289103	0.239338	0.24172	2845070.0	42528700.0	0.26
10	2017-11-11	0.240971	0.252511	0.240952	0.244201	2567260.0	36145600.0	0.25
11	2017-11-12	0.243335	0.244233	0.215402	0.219047	2178070.0	36500200.0	0.23
12	2017-11-13	0.219133	0.23883	0.218304	0.23057	1828930.0	32869900.0	0.23
13	2017-11-14	0.230825	0.241246	0.22806	0.230716	2431870.0	34623800.0	0.23
14	2017-11-15	0.231428	0.237423	0.218656	0.222056	1889060.0	34714100.0	0.23
15	2017-11-16	0.222623	0.23167	0.21207	0.227078	2051200.0	33393400.0	0.22
16	2017-11-17	0.225694	0.231	0.200308	0.200928	1791930.0	33854100.0	0.22
17	2017-11-18	0.199845	0.209759	0.196992	0.206344	1474640.0	29976700.0	0.2
18	2017-11-19	0.205819	0.233876	0.201365	0.210899	1772770.0	30872900.0	0.22
19	2017-11-20	0.210684	0.216751	0.2047	0.205489	1819930.0	31602500.0	0.21
20	2017-11-21	0.20451	0.20587	0.187368	0.196161	1738120.0	30676500.0	0.2
21	2017-11-22	0.196064	0.241675	0.195643	0.221272	2832990.0	29409600.0	0.22
22	2017-11-23	0.221793	0.226009	0.214101	0.214101	1977020.0	33269000.0	0.22
23	2017-11-24	0.213459	0.220147	0.20318	0.209432	1814810.0	32018800.0	0.21
24	2017-11-25	0.209279	0.22072	0.203469	0.217868	1825470.0	31391800.0	0.21
25	2017-11-26	0.217593	0.23672	0.216237	0.234338	1405400.0	32639000.0	0.23
26	2017-11-27	0.234212	0.238389	0.224051	0.238389	3202410.0	35131800.0	0.23
27	2017-11-28	0.238414	0.249881	0.229876	0.238613	3649230.0	35762100.0	0.24
28	2017-11-29	0.237379	0.254965	0.185314	0.200965	2802610.0	35606900.0	0.22
29	2017-11-30	0.203753	0.281094	0.178633	0.248866	3447700.0	30563000.0	0.23
30	2017-12-01	0.249631	0.260267	0.22806	0.257623	4074770.0	37444600.0	0.24
31	2017-12-02	0.257437	0.260505	0.230571	0.243304	3140980.0	38615600.0	0.25
32	2017-12-03	0.243652	0.257983	0.226997	0.241056	3512820.0	36547700.0	0.24
33	2017-12-04	0.239913	0.266714	0.235765	0.248539	3704660.0	35986900.0	0.25
34	2017-12-05	0.249143	0.301849	0.248844	0.291643	5218470.0	37371400.0	0.28
35	2017-12-06	0.29123	0.313903	0.258987	0.312156	5433750.0	43684400.0	0.29
36	2017-12-07	0.31556	0.331553	0.247573	0.257324	4888480.0	47334000.0	0.29
37	2017-12-08	0.257785	0.294896	0.242669	0.281538	4249100.0	38667700.0	0.27
38	2017-12-09	0.281995	0.287294	0.25132	0.258117	4389660.0	42299300.0	0.27
39	2017-12-10	0.259033	0.259033	0.222913	0.226262	3369900.0	38854900.0	0.24
40	2017-12-11	0.22656	0.265632	0.224636	0.260763	3536040.0	33984000.0	0.25
41	2017-12-12	0.262676	0.373698	0.220372	0.25615	6372360.0	39401300.0	0.3
42	2017-12-13	0.256271	0.273371	0.232276	0.256393	4611980.0	38440600.0	0.25
43	2017-12-14	0.259628	0.314712	0.255542	0.276035	5704530.0	38944200.0	0.29
44	2017-12-15	0.275726	0.281028	0.238081	0.267871	4796220.0	41358900.0	0.26
45	2017-12-16	0.266816	0.297479	0.266763	0.295442	5397760.0	40022400.0	0.28
46	2017-12-17	0.295685	0.385319	0.294097	0.314883	9942310.0	44352800.0	0.34
47	2017-12-18	0.316709	0.383207	0.291625	0.382092	10483600.0	47506400.0	0.34
48	2017-12-19	0.380804	0.403486	0.327027	0.339864	8031600.0	57120600.0	0.37
49	2017-12-20	0.339242	0.37224	0.297446	0.364191	7389180.0	50886400.0	0.33
50	2017-12-21	0.364866	0.396781	0.317739	0.396781	9334400.0	54729900.0	0.36
51	2017-12-22	0.396082	0.458794	0.24223	0.386585	14555200.0	59412200.0	0.35
52	2017-12-23	0.372926	0.480397	0.363187	0.445433	13819000.0	55938900.0	0.42
53	2017-12-24	0.448826	0.470697	0.360871	0.411395	9301340.0	67323900.0	0.42
54	2017-12-25	0.41424	0.432313	0.368177	0.400139	9919510.0	62136000.0	0.4
55	2017-12-26	0.397959	0.431724	0.379778	0.402361	7377210.0	59693800.0	0.41
56	2017-12-27	0.401865	0.41995	0.378116	0.410422	8127280.0	60279700.0	0.4
57	2017-12-28	0.409575	0.411962	0.34312	0.378436	7930360.0	61436200.0	0.38
58	2017-12-29	0.382169	0.422649	0.379903	0.413307	8642950.0	57325300.0	0.4
59	2017-12-30	0.412613	0.494833	0.392616	0.453945	11608400.0	61892000.0	0.44
60	2017-12-31	0.449644	0.558338	0.439013	0.554499	10806700.0	67446500.0	0.5
61	2018-01-01	0.556684	0.593234	0.501236	0.585257	10327000.0	83502600.0	0.55
62	2018-01-02	0.58758	0.61431	0.509669	0.552522	12621100.0	88137000.0	0.56
63	2018-01-03	0.544303	0.658316	0.5332	0.635132	12486800.0	81645400.0	0.6
64	2018-01-04	0.63501	0.763362	0.600423	0.763362	16766100.0	95251500.0	0.68
65	2018-01-05	0.786783	1.69	0.786783	1.42	124591000.0	118018000.0	1.24
66	2018-01-06	1.43	1.68	1.18	1.29	45507800.0	214109000.0	1.43
67	2018-01-07	1.29	1.69	1.28	1.55	49550400.0	193338000.0	1.48
68	2018-01-08	1.55	1.59	1.09	1.33	25687700.0	232087000.0	1.34
69	2018-01-09	1.34	1.97	1.3	1.71	35205000.0	200807000.0	1.64
70	2018-01-10	1.76	2.08	1.45	1.69	43796900.0	263779000.0	1.77
